Year,Month,Time,Volume
1991,Jan,1991-Jan,164
1991,Feb,1991-Feb,148
1991,Mar,1991-Mar,152
1991,Apr,1991-Apr,144
1991,May,1991-May,155
1991,Jun,1991-Jun,125
1991,Jul,1991-Jul,153
1991,Aug,1991-Aug,146
1991,Sep,1991-Sep,138
1991,Oct,1991-Oct,190
1991,Nov,1991-Nov,192
1991,Dec,1991-Dec,192
1992,Jan,1992-Jan,147
1992,Feb,1992-Feb,133
1992,Mar,1992-Mar,163
1992,Apr,1992-Apr,150
1992,May,1992-May,129
1992,Jun,1992-Jun,131
1992,Jul,1992-Jul,145
1992,Aug,1992-Aug,137
1992,Sep,1992-Sep,138
1992,Oct,1992-Oct,168
1992,Nov,1992-Nov,176
1992,Dec,1992-Dec,188
1993,Jan,1993-Jan,139
1993,Feb,1993-Feb,143
1993,Mar,1993-Mar,150
1993,Apr,1993-Apr,154
1993,May,1993-May,137
1993,Jun,1993-Jun,129
1993,Jul,1993-Jul,128
1993,Aug,1993-Aug,140
1993,Sep,1993-Sep,143
1993,Oct,1993-Oct,151
1993,Nov,1993-Nov,177
1993,Dec,1993-Dec,184
1994,Jan,1994-Jan,151
1994,Feb,1994-Feb,134
1994,Mar,1994-Mar,164
1994,Apr,1994-Apr,126
1994,May,1994-May,131
1994,Jun,1994-Jun,125
1994,Jul,1994-Jul,127
1994,Aug,1994-Aug,143
1994,Sep,1994-Sep,143
1994,Oct,1994-Oct,160
1994,Nov,1994-Nov,190
1994,Dec,1994-Dec,182
1995,Jan,1995-Jan,138
1995,Feb,1995-Feb,136
1995,Mar,1995-Mar,152
1995,Apr,1995-Apr,127
1995,May,1995-May,151
1995,Jun,1995-Jun,130
1995,Jul,1995-Jul,119
1995,Aug,1995-Aug,153
