year,month,vol
1991,1,164
1991,2,148
1991,3,152
1991,4,144
1991,5,155
1991,6,125
1991,7,153
1991,8,146
1991,9,138
1991,10,190
1991,11,192
1991,12,192
1992,1,147
1992,2,133
1992,3,163
1992,4,150
1992,5,129
1992,6,131
1992,7,145
1992,8,137
1992,9,138
1992,10,168
1992,11,176
1992,12,188
1993,1,139
1993,2,143
1993,3,150
1993,4,154
1993,5,137
1993,6,129
1993,7,128
1993,8,140
1993,9,143
1993,10,151
1993,11,177
1993,12,184
1994,1,151
1994,2,134
1994,3,164
1994,4,126
1994,5,131
1994,6,125
1994,7,127
1994,8,143
1994,9,143
1994,10,160
1994,11,190
1994,12,182
1995,1,138
1995,2,136
1995,3,152
1995,4,127
1995,5,151
1995,6,130
1995,7,119
1995,8,153
